,id,company_name,update_day,year_change_percent
996,997,SGOC,2017,175.73529121733458
997,998,SGOC,2018,-72.00000127156575
998,999,SGOC,2019,-16.190472838559508
999,1000,SGOC,2020,7.954544684857372
1000,1001,SGOC,2021,36.842101960961465
1001,1002,APWC,2014,nan
1002,1003,APWC,2015,1.960782480441495
1003,1004,APWC,2016,-43.46153528732649
1004,1005,APWC,2017,84.35374050360166
1005,1006,APWC,2018,-0.3690033329333297
1006,1007,APWC,2019,-34.4444463086226
1007,1008,APWC,2020,-20.903955296920035
1008,1009,APWC,2021,57.142863224963854
1009,1010,CYD,2014,nan
1010,1011,CYD,2015,-1.3698642526479285
1011,1012,CYD,2016,-44.17734939867062
1012,1013,CYD,2017,32.631578082793354
1013,1014,CYD,2018,72.15008081805166
1014,1015,CYD,2019,-48.32355570704917
1015,1016,CYD,2020,7.866993293032021
1016,1017,CYD,2021,21.353377129212326
1017,1018,HUDI,2021,nan
1018,1019,PETZ,2017,nan
1019,1020,PETZ,2018,-6.9767454754925895
1020,1021,PETZ,2019,-89.98214287386865
1021,1022,PETZ,2020,126.55972396142889
1022,1023,PETZ,2021,37.68685774355297
1023,1024,REDU,2017,nan
1024,1025,REDU,2018,-9.187501668930054
1025,1026,REDU,2019,-47.62560032092815
1026,1027,REDU,2020,-12.614980569042793
1027,1028,REDU,2021,-9.624058004622237
1028,1029,CLNN,2018,nan
1029,1030,CLNN,2019,1.5384576259515224
1030,1031,CLNN,2020,6.363637764810804
1031,1032,CLNN,2021,-31.62393170133963
1032,1033,SINO,2014,nan
1033,1034,SINO,2015,2.7397233430072485
1034,1035,SINO,2016,-46.666666666666664
1035,1036,SINO,2017,275.0
1036,1037,SINO,2018,-14.333330790201822
1037,1038,SINO,2019,-70.03891213743123
1038,1039,SINO,2020,-41.558440110799616
1039,1040,SINO,2021,-7.111114925808376
1040,1041,NOAH,2014,nan
1041,1042,NOAH,2015,0.048568376919506925
1042,1043,NOAH,2016,24.660193347742148
1043,1044,NOAH,2017,-14.95327144452542
1044,1045,NOAH,2018,110.62270915116873
1045,1046,NOAH,2019,-10.413045468537703
1046,1047,NOAH,2020,-13.152143385966468
1047,1048,NOAH,2021,27.828999244734728
1048,1049,BYSI,2017,nan
1049,1050,BYSI,2018,75.22659418050041
1050,1051,BYSI,2019,-39.20689944563241
1051,1052,BYSI,2020,-13.499712274876323
1052,1053,BYSI,2021,-22.754100111664318
1053,1054,LEDS,2014,nan
1054,1055,LEDS,2015,2.8571446736653647
1055,1056,LEDS,2016,-62.96296361706056
1056,1057,LEDS,2017,-12.000000476837158
1057,1058,LEDS,2018,3.9772757290562484
1058,1059,LEDS,2019,-29.50820045894924
1059,1060,LEDS,2020,-23.255810944780777
1060,1061,LEDS,2021,74.24242497220256
1061,1062,ADAG,2021,nan
1062,1063,COE,2016,nan
1063,1064,COE,2017,-21.97452393732639
1064,1065,COE,2018,-17.619048885670473
1065,1066,COE,2019,-44.9215502445021
1066,1067,COE,2020,45.27735336649889
1067,1068,COE,2021,173.818391073608
1068,1069,DQ,2014,nan
1069,1070,DQ,2015,-1.0769824785642008
1070,1071,DQ,2016,-37.45967793880218
1071,1072,DQ,2017,25.789811502520497
1072,1073,DQ,2018,207.7908862511177
1073,1074,DQ,2019,-62.46461439557457
1074,1075,DQ,2020,127.15173036994759
1075,1076,DQ,2021,477.34375247382565
1076,1077,HYW,2021,nan
1077,1078,MYT,2015,nan
1078,1079,MYT,2016,-91.02564039117183
1079,1080,MYT,2017,-50.20408305594873
1080,1081,MYT,2018,47.540990814859015
1081,1082,MYT,2019,-24.07407775337299
1082,1083,MYT,2020,-26.82926474689796
1083,1084,MYT,2021,176.66665010982155
1084,1085,ACBAU,2021,nan
1085,1086,CLEU,2020,nan
1086,1087,CLEU,2021,-16.263741031531826
1087,1088,FHS,2021,nan
1088,1089,XPEV,2020,nan
1089,1090,XPEV,2021,105.09433008250362
1090,1091,JOBS,2014,nan
1091,1092,JOBS,2015,-0.4749985451071153
1092,1093,JOBS,2016,-20.325659708645794
1093,1094,JOBS,2017,18.2170550710978
1094,1095,JOBS,2018,82.891213131746
1095,1096,JOBS,2019,-2.379398745029268
1096,1097,JOBS,2020,38.73121261644538
1097,1098,JOBS,2021,-17.54512887938882
1098,1099,CREG,2014,nan
1099,1100,CREG,2015,4.166666666666667
1100,1101,CREG,2016,-52.0
1101,1102,CREG,2017,-58.888888359069824
1102,1103,CREG,2018,85.81080841617573
1103,1104,CREG,2019,-72.00000069358133
1104,1105,CREG,2020,-62.33766016619943
1105,1106,CREG,2021,63.10344356985935
1106,1107,TYHT,2016,nan
1107,1108,TYHT,2017,-46.603260760020866
1108,1109,TYHT,2018,-43.81679292987849
1109,1110,TYHT,2019,-74.04891237838757
1110,1111,TYHT,2020,2.966838782348204
1111,1112,TYHT,2021,-44.4444429477804
1112,1113,VNET,2014,nan
1113,1114,VNET,2015,-0.39036738054081216
1114,1115,VNET,2016,33.63813536057952
1115,1116,VNET,2017,-65.93352833783229
1116,1117,VNET,2018,14.34720272742653
1117,1118,VNET,2019,3.3877037394504264
1118,1119,VNET,2020,-11.893198658467227
1119,1120,VNET,2021,342.0110074504818
1120,1121,CD,2020,nan
1121,1122,CD,2021,33.28571319580078
1122,1123,CIH,2019,nan
1123,1124,CIH,2020,42.55498175301187
1124,1125,CIH,2021,-41.839759504270454
1125,1126,PLIN,2019,nan
1126,1127,PLIN,2020,-14.444446563720703
1127,1128,PLIN,2021,-76.6233766635889
1128,1129,BLCT,2020,nan
1129,1130,BLCT,2021,-50.92361664141152
1130,1131,TAL,2014,nan
1131,1132,TAL,2015,-0.2870364657753593
1132,1133,TAL,2016,62.07268171200137
1133,1134,TAL,2017,55.79483519327339
1134,1135,TAL,2018,153.0141165004335
1135,1136,TAL,2019,-13.653264260541114
1136,1137,TAL,2020,88.84540681321376
1137,1138,TAL,2021,42.23833627651393
1138,1139,BILI,2018,nan
1139,1140,BILI,2019,45.322242292561704
1140,1141,BILI,2020,38.05436243936528
1141,1142,BILI,2021,368.6528524548171
1142,1143,ZH,2021,nan
1143,1144,HCM,2016,nan
1144,1145,HCM,2017,5.1111080028392655
1145,1146,HCM,2018,167.79422920161596
1146,1147,HCM,2019,-41.36841924566971
1147,1148,HCM,2020,13.038593760179339
1148,1149,HCM,2021,27.218588822505094
1149,1150,CPHI,2014,nan
1150,1151,CPHI,2015,3.333330021964311
1151,1152,CPHI,2016,-58.06451798973916
1152,1153,CPHI,2017,84.61538726056125
1153,1154,CPHI,2018,-29.166664338360178
1154,1155,CPHI,2019,29.411762643437918
1155,1156,CPHI,2020,9.090907243657693
1156,1157,CPHI,2021,83.33333643774199
1157,1158,ASX,2014,nan
1158,1159,ASX,2015,-1.7973800446762143
1159,1160,ASX,2016,-8.985031915558729
1160,1161,ASX,2017,-7.86105749235426
1161,1162,ASX,2018,29.365079965781256
1162,1163,ASX,2019,-45.39877372401996
1163,1164,ASX,2020,55.05618173175204
1164,1165,ASX,2021,7.246378564303781
1165,1166,LGHL,2019,nan
1166,1167,LGHL,2020,4.682630374776157
1167,1168,LGHL,2021,-82.10735708513154
1168,1169,IDEX,2014,nan
1169,1170,IDEX,2015,4.188483995466052
1170,1171,IDEX,2016,-11.055277766628947
1171,1172,IDEX,2017,-33.3333355783294
1172,1173,IDEX,2018,286.44069029455505
1173,1174,IDEX,2019,-74.12280784309297
1174,1175,IDEX,2020,-32.20338580663828
1175,1176,IDEX,2021,137.49999348074206
1176,1177,CCNC,2015,nan
1177,1178,CCNC,2016,-0.42105223003186676
1178,1179,CCNC,2017,3.4883712724666665
1179,1180,CCNC,2018,-1.6343191832027852
1180,1181,CCNC,2019,-68.22430003722597
1181,1182,CCNC,2020,-31.372550852891838
1182,1183,CCNC,2021,70.47619458499157
1183,1184,MFH,2015,nan
1184,1185,MFH,2016,-51.24481404973558
1185,1186,MFH,2017,-19.78723241927776
1186,1187,MFH,2018,-73.2095486019236
1187,1188,MFH,2019,-95.01980196056547
1188,1189,MFH,2020,60.0397561779086
1189,1190,MFH,2021,88.81987172932472
1190,1191,NIO,2018,nan
1191,1192,NIO,2019,12.149534709423007
1192,1193,NIO,2020,-39.833335081736244
1193,1194,NIO,2021,1303.6010980992094
1194,1195,BGNE,2016,nan
1195,1196,BGNE,2017,9.35674753684074
1196,1197,BGNE,2018,233.72774182258348
1197,1198,BGNE,2019,33.04294440217914
1198,1199,BGNE,2020,24.569822728974202
1199,1200,BGNE,2021,56.11515018403157
1200,1201,SJ,2019,nan
1201,1202,SJ,2020,3.6772181622062665
1202,1203,SJ,2021,-13.300487473228998
1203,1204,BIDU,2014,nan
1204,1205,BIDU,2015,-2.4831591020122548
1205,1206,BIDU,2016,-18.461329349197403
1206,1207,BIDU,2017,-8.183830719709572
1207,1208,BIDU,2018,41.87672422836467
